g60.t1	YAL001C	91.147	1107	98	0	1	1107	54	1160	0.0	2074.0
g59.t1	YAL002W	91.195	1272	112	0	1	1272	1	1272	0.0	2385.0
g58.t1	YAL003W	97.573	206	5	0	1	206	1	206	1.27e-146	404.0
g57.t1	YAL005C	99.065	642	6	0	1	642	1	642	0.0	1295.0
g5092.t1	YAL005C	34.722	432	268	6	1	429	1	421	3.46e-80	266.0
g339.t1	YAL005C	34.491	432	269	6	1	429	1	421	2.41e-78	261.0
g3234.t1	YAL005C	97.508	642	13	1	1	639	1	642	0.0	1273.0
g1452.t1	YAL005C	81.24	645	115	3	1	642	1	642	0.0	1028.0
g123.t1	YAL005C	82.43	609	104	2	1	609	1	606	0.0	1026.0
g2226.t1	YAL005C	29.63	459	301	9	3	455	2	444	9.709999999999999e-61	209.0
g607.t1	YAL005C	62.976	578	208	4	9	585	4	576	0.0	714.0
g4186.t1	YAL005C	62.803	578	209	4	9	585	4	576	0.0	714.0
g3560.t1	YAL005C	49.529	531	244	8	29	552	3	516	1.19e-177	518.0
g1321.t1	YAL005C	50.326	614	281	11	30	630	5	607	0.0	545.0
g2786.t1	YAL005C	51.629	614	273	11	33	633	5	607	0.0	568.0
g2729.t1	YAL005C	64.57	604	210	3	53	654	5	606	0.0	791.0
g3029.t1	YAL005C	26.744	430	278	14	76	499	46	444	5.1299999999999995e-34	137.0
g56.t1	YAL007C	97.209	215	6	0	1	215	1	215	9.57e-155	425.0
g794.t1	YAL007C	27.391	230	130	10	8	225	11	215	4.35e-10	55.5
g4596.t1	YAL007C	74.479	192	46	1	19	207	24	215	4.56e-100	286.0
g1728.t1	YAL007C	24.39	164	93	7	25	173	36	183	1.09e-05	42.7
g55.t1	YAL008W	88.06	201	21	1	1	201	1	198	2.8900000000000004e-124	347.0
g54.t1	YAL009W	97.297	259	7	0	1	259	1	259	0.0	525.0
g53.t1	YAL010C	91.075	493	44	0	1	493	1	493	0.0	927.0
g52.t1	YAL011W	86.698	639	71	1	1	639	1	625	0.0	1004.0
g51.t1	YAL012W	98.731	394	5	0	1	394	1	394	0.0	797.0
g2576.t1	YAL012W	29.104	402	243	13	3	377	8	394	2.8100000000000002e-33	126.0
g2273.t1	YAL012W	30.75	400	230	16	4	373	9	391	3.17e-35	131.0
g3504.t1	YAL012W	31.05	438	240	14	5	436	9	390	1.88e-48	168.0
g1716.t1	YAL012W	33.659	410	240	12	5	407	8	392	1.3200000000000001e-59	198.0
g1646.t1	YAL012W	27.966	354	236	9	53	392	46	394	3.88e-37	137.0
g3206.t1	YAL012W	28.517	263	153	12	321	564	143	389	1.84e-11	63.9
g2864.t1	YAL012W	28.958	259	166	11	387	636	143	392	1.46e-11	64.7
g3693.t1	YAL012W	26.923	260	170	10	395	645	143	391	4.25e-07	50.4
g50.t1	YAL013W	95.062	405	20	0	1	405	1	405	0.0	728.0
g49.t1	YAL014C	82.773	238	38	1	1	235	1	238	4.24e-137	384.0
g1693.t1	YAL014C	38.158	76	46	1	233	307	155	230	8.38e-07	47.4
g48.t1	YAL015C	89.975	399	40	0	1	399	1	399	0.0	739.0
g4547.t1	YAL015C	49.123	285	145	0	38	322	33	317	2.57e-99	298.0
g47.t1	YAL016W	97.638	635	12	1	1	632	1	635	0.0	1246.0
g46.t1	YAL017W	94.838	1356	70	0	1	1356	1	1356	0.0	2515.0
g1916.t1	YAL017W	29.947	187	100	7	41	222	1144	1304	4.96e-18	84.0
g4545.t1	YAL017W	32.0	150	66	4	45	162	115	260	7.32e-12	67.8
g276.t1	YAL017W	25.874	143	83	4	108	248	1191	1312	5.33e-08	55.8
g4545.t1	YAL017W	56.158	1015	333	15	191	1103	352	1356	0.0	1082.0
g5268.t1	YAL017W	24.348	115	72	4	260	372	1210	1311	9.5e-06	46.2
g2917.t1	YAL017W	34.752	141	70	3	283	423	1186	1304	3.32e-17	84.0
g788.t1	YAL017W	29.329	283	161	10	309	579	1100	1355	1.5999999999999998e-25	110.0
g45.t1	YAL018C	91.385	325	28	0	1	325	1	325	0.0	612.0
g4544.t1	YAL018C	29.487	156	96	3	14	169	151	292	4.98e-13	63.9
g44.t1	YAL019W	94.175	1133	57	3	1	1127	1	1130	0.0	1998.0
g4750.t1	YAL019W	25.676	296	164	13	71	358	566	813	5.23e-15	77.4
g404.t1	YAL019W	35.728	529	263	12	136	590	572	1097	5.6300000000000005e-80	282.0
g290.t1	YAL019W	26.48	608	332	23	181	760	570	1090	3.38e-38	151.0
g4852.t1	YAL019W	35.66	530	262	14	184	638	572	1097	2.13e-80	284.0
g1628.t1	YAL019W	41.196	301	159	9	211	503	562	852	3.9299999999999995e-54	201.0
g253.t1	YAL019W	31.215	535	268	17	307	775	592	1092	3.38e-48	184.0
g1510.t1	YAL019W	32.692	572	304	15	341	843	538	1097	3.34e-73	265.0
g3458.t1	YAL019W	25.182	274	151	11	388	657	594	817	7.57e-10	62.0
g2417.t1	YAL019W	36.21	533	272	15	469	939	571	1097	1.04e-80	287.0
g3283.t1	YAL019W	27.211	294	143	12	526	805	594	830	7.51e-14	74.3
g4750.t1	YAL019W	42.4	125	71	1	599	723	967	1090	5.22e-24	106.0
g1628.t1	YAL019W	39.735	151	89	2	600	749	948	1097	2.02e-22	101.0
g1745.t1	YAL019W	38.066	331	183	9	684	1003	562	881	4.65e-51	195.0
g1095.t1	YAL019W	38.182	330	174	9	688	998	563	881	7.26e-53	201.0
g4840.t1	YAL019W	36.822	535	265	15	757	1226	571	1097	1.99e-82	294.0
g3283.t1	YAL019W	36.585	164	93	5	993	1154	947	1101	7.08e-18	87.4
g1095.t1	YAL019W	39.884	173	94	3	1228	1391	926	1097	1.36e-31	132.0
g5115.t1	YAL019W	34.729	573	301	18	1234	1762	560	1103	3.67e-73	266.0
g1745.t1	YAL019W	40.0	150	88	1	1286	1435	954	1101	6.33e-28	120.0
g3458.t1	YAL019W	26.144	153	102	4	1346	1494	938	1083	6.41e-08	55.5
g43.t1	YAL020C	84.685	333	51	0	12	344	1	333	0.0	582.0
g42.t1	YAL021C	96.416	837	26	1	1	833	1	837	0.0	1685.0
g4548.t1	YAL021C	25.385	390	229	15	4	363	471	828	8.55e-28	112.0
g4894.t1	YAL021C	32.692	156	92	6	47	197	339	486	2.55e-07	52.0
g4031.t1	YAL021C	26.991	226	130	9	112	316	505	716	1.42e-11	65.1
g2922.t1	YAL021C	34.545	110	59	4	202	309	341	439	0.000539	39.7
g2748.t1	YAL021C	31.148	122	79	1	861	982	322	438	9.72e-06	48.5
g2748.t1	YAL021C	34.177	79	51	1	1059	1137	338	415	0.000251	43.9
g2748.t1	YAL021C	32.54	126	71	4	1186	1311	325	436	2.3e-08	57.4
g41.t1	YAL022C	94.208	518	29	1	1	518	1	517	0.0	971.0
